location,date,link,price,comp_name,full_name,currency,description,type
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44558824,670,Huawei,"Noutbuk ""Huawei""",AZN,"Çox az istifadə olunub , Sensor ekran Tam ideal vəziyyətdə. Təzədən qətiyyən seçilmir. Çox baha alınıb. Bu qiymətə bu gücdə noutbuk yoxdur.
Tam biznes model axtaranlar üçün.
Rəsmi zəmanət verilir yazılı olaraq.
Işıqlı klaviatura
Barmaq izi ( Finger print )
Üz tanıma ( Face id )
-------------------------------
Prosessor: Intel®️ Core™️ i5-1240P 5.10 GHZ
RAM : 16 GB DDR4 3200
Yaddaş : 512GB M.2 NVMe™ PCIe® 4.0 SSD
Ekran : 14 FHD IPS
Type-C 3.2 super speed
USB 3.1
LAN
HDMİ
Bluetooth
-----------------------------------------
🎁Windows 11+Office Programs
📄 1il Rəsmi zəmanət
---------------------
👑
Ünvan: 28 Mall-ın yanı AZİ ile uzbe-uz 9cu mağaza TeleStop
--------------------------------
#noutbuk #notebook #komputer #kompyuter #laptop #bilgisayar",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44437705,1049,Asus,Asus Tuf RTX 2060,AZN,"Cpu - AMD Ryzen 9 - 4900H
Ram - 32 gb (DDR4)
Ssd - 1 TB (m2 NVMe -10 qat sürətli)
Vga - AMD Radeon (TM) Graphics (up to 16 gb)
Vga - Nvidia GeForce RTX 2060 (təmiz 6 gb, 22 gb-a qalxıb)
Ekran - 15.6 Full HD iPS (144 Hz)",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44525172,1299,HP,HP Victus Gaming 16-r1041ci (A1LJ9EA),AZN,"◽Model: HP Victus Gaming 16-r1041ci
◽Prosessor : Intel® Core™ i5-14450HX (20M Cache, up to 4.80 GHz,10 cores,16 threads)
◽Ekranın diaqonalı : 16.1 FHD IPS (1920 x 1080) 144Hz, 300 nits
◽Ram : 16 GB DDR5 5600 MHz
◽Yaddaş : 512 GB M.2 NVMe PCIe® 4.0 SSD
◽Video kartının növü : Nvidia GeForce RTX 3050 / 6 GB DDR6
◽Vəziyyəti : Yeni
◽Klaviatura : Rus/Eng
◽Backlit Keyboard
◽Rəngi : göy
◽Çəki: 2.31 Kq
◽Əməliyyat sistemi : FreeDoss
◽P/N : A1LJ9EA
◽Vəziyyəti : İkinci Əl (ideal veziyyetde)
📝3 ay Zəmanət
🎁 Nəğd Alış Zamanı ⬇️⬇️⬇️
1.💼 Çanta
2.🖱️ Mouse + Mouse Pad
3👨‍💻 Əməliyyat sistemi və standart proqramların ödənişsiz yazılması (Word, Excell, Powerpoint və s.)
4.⚙️ Zəmanət müddətində noutbukların təmizlənməsi və termal pasta dəyişməsi ödənişsiz
📍 Ünvan : Qara Qarayev Prospekti 68. (Neftçilər Metrosunun Çıxışı)...",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43864674,800,Lenovo,"Noutbuk ""Lenovo Yoga L13""",AZN,**ThinkPad L13 Yoga Gen 2 – Yeni kimi**,individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43814689,800,HP,Hp elitbook 840 g10,AZN,"Hp elitbook 840 g10
CPU: Intel Core i5-1345U vPro
RAM: 16 GB 5200MHz
SSD: 512 GB M.2 NVMe
GFX: Intel Iris Graphics
LCD: 14.0"" WUXGA (1920 x 1200) IPS
OS: Windows 11 Pro (orğinal lisenziyali)
Əlavə: HP Premium Backlit Keyboard
Вес: 1.40 Kq
Barmaq izi
Face id
Notebook ideal veziyetdedir
Maus canta ve ofis proqramlari uzerinde hediyye
1 il yazili zemanet",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43399033,599,HP,HP Elitebook 850 G3,AZN,"HP Elitebook 850 G3 i7
HP EliteBook 850 G3 15.6 Laptop i7-6600U 8GB .",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44378678,650,Lenovo,Lenovo ThinkPad T14s i5,AZN,Model : Model : Lenovo ThinkPad T14s,shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44404740,799,Acer,"Noutbuk ""Acer Aspire A315""",AZN,"⚡️TƏZƏ KİMİ! Acer Aspire A315 – Güclü i5 Prosessor, SSD, Iris Xe Qrafika ilə!⚡️",shop
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44531082,1180,Apple Macbook,Apple Macbook M2 air,AZN,Model:MacBook Air,individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44429765,650,Huawei,Huawei MateBook D14 MDF-X (53013XFA),AZN,"Huawei MateBook D14 MDF-X (53013XFA)
Model: Huawei MateBook D14 MDF-X (53013XFA)
CPU: Intel Core i5 12450H (12-ci nəsil)
RAM: 8GB DDR4
VGA: Intel UHD Graphics
SSD: 512GB M.2 NVMe
EKRAN: 14.0 Full HD IPS (1920 x 1080)
OS: Windows 11 Home 64-bit Original
Noutbuk ideal vəziyyətdədir, cəmi 3 gün istifadə olunub, nöqtə belə cızığı yoxdur.
Üzərində original adapter, mouse və çanta verilir.
Mağazada satılır, zəmanət verilir.
Çatdırılma var.
Ünvan: Qara Qarayev Metrosu, Şirin Mirzəyev 124B
#notebook #notbuk #noutbuk #laptop #alis #satis #amd #intel #ddr4 #ddr5 #gtx #rtx #ssd #60hz #144hz #165hz #240hz #250hz #360hz #fhd #ips #nvme #ryzen #huawei #hp #asus #dell #lenovo #acer #tuf #loq #rog #strix #pcstore",shop
